Episode,num_tweets,compound mean,compound var,#tweets Pos,#tweets Neg,#tweets Neu,#pos_words/tweet mean,#pos_words/tweet variance,
Ep3,100,0.13,0.18,48,18,34,0.98,1.757,
Ep4,1000,0.045,0.108,293,173,534,0.554,0.542,
Ep5,2000,0.116,0.149,815,354,831,0.717,0.828,
Ep6,3000,0.091,0.141,1044,510,1446,0.609,0.663,
Ep7,3000,0.101,0.138,1108,514,1378,0.627,0.716,
Ep8,3000,0.015,0.17,1058,943,999,0.685,0.667,
Ep9,3000,0.092,0.144,1180,682,1138,0.766,1.033,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
